"filename", "language", "Dart", "comment", "blank", "total"
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/Philosophy/philosofy_label.dart", "Dart", 45, 0, 5, 50
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/Philosophy/philosofy_paint.dart", "Dart", 137, 20, 32, 189
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/Philosophy/philosophy_building.dart", "Dart", 34, 3, 5, 42
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/Theology/theology_building.dart", "Dart", 34, 1, 6, 41
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/Theology/theology_paint.dart", "Dart", 124, 34, 32, 190
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/common_widgets/building_label.dart", "Dart", 69, 1, 5, 75
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/coords/philosophy_coords.dart", "Dart", 8, 0, 2, 10
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/coords/theology_coords.dart", "Dart", 8, 0, 3, 11
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/main.dart", "Dart", 16, 0, 4, 20
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/map_with_ovelays.dart", "Dart", 179, 9, 25, 213
"Total", "-", 654, 68, 119, 841
